Department,Category,AccountCode,AccountName,     BudgetAmount     ,Period
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"317,000.00",01/12/2016
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"24,000.00",01/01/2017
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/01/2017
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/01/2017
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/01/2017
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"80,000.00",01/01/2017
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"24,000.00",01/02/2017
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/02/2017
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/02/2017
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/02/2017
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"80,000.00",01/02/2017
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"24,000.00",01/03/2017
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/03/2017
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/03/2017
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/03/2017
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"80,000.00",01/03/2017
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"24,000.00",01/04/2017
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/04/2017
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/04/2017
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/04/2017
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"80,000.00",01/04/2017
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"24,000.00",01/05/2017
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/05/2017
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/05/2017
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/05/2017
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"80,000.00",01/05/2017
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"24,000.00",01/06/2017
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/06/2017
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/06/2017
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/06/2017
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"80,000.00",01/06/2017
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"1,000.00",01/07/2017
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/07/2017
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/07/2017
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/07/2017
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"70,000.00",01/07/2017
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/07/2017
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"1,000.00",01/08/2017
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/08/2017
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/08/2017
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/08/2017
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"70,000.00",01/08/2017
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/08/2017
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"1,000.00",01/09/2017
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/09/2017
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/09/2017
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/09/2017
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"70,000.00",01/09/2017
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/09/2017
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"1,000.00",01/10/2017
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/10/2017
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/10/2017
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/10/2017
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"70,000.00",01/10/2017
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/10/2017
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"1,000.00",01/11/2017
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/11/2017
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/11/2017
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/11/2017
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"70,000.00",01/11/2017
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/11/2017
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"39,900.00",01/12/2017
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"57,900.00",01/12/2017
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"289,600.00",01/12/2017
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"222,300.00",01/12/2017
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"472,900.00",01/12/2017
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"61,200.00",01/12/2017
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"1,000.00",01/01/2018
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/01/2018
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/01/2018
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/01/2018
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"70,000.00",01/01/2018
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/01/2018
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"1,000.00",01/02/2018
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/02/2018
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/02/2018
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/02/2018
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"70,000.00",01/02/2018
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/02/2018
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"1,000.00",01/03/2018
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/03/2018
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/03/2018
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/03/2018
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"70,000.00",01/03/2018
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/03/2018
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"1,000.00",01/04/2018
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/04/2018
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/04/2018
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/04/2018
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"70,000.00",01/04/2018
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/04/2018
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"1,000.00",01/05/2018
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/05/2018
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/05/2018
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/05/2018
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"70,000.00",01/05/2018
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/05/2018
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"1,000.00",01/06/2018
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/06/2018
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/06/2018
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/06/2018
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"70,000.00",01/06/2018
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/06/2018
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/07/2018
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/07/2018
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/07/2018
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/07/2018
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/08/2018
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/08/2018
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/08/2018
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/08/2018
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/09/2018
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/09/2018
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/09/2018
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/09/2018
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/10/2018
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/10/2018
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/10/2018
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/10/2018
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/11/2018
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/11/2018
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/11/2018
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/11/2018
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"105,300.00",01/12/2018
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"248,200.00",01/12/2018
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"200,600.00",01/12/2018
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"482,800.00",01/12/2018
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/01/2019
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/01/2019
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/01/2019
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/01/2019
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/02/2019
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/02/2019
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/02/2019
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/02/2019
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/03/2019
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/03/2019
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/03/2019
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/03/2019
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/04/2019
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/04/2019
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/04/2019
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/04/2019
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/05/2019
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/05/2019
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/05/2019
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/05/2019
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/06/2019
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/06/2019
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/06/2019
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/06/2019
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/07/2019
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/07/2019
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/07/2019
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/07/2019
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/07/2019
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/08/2019
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/08/2019
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/08/2019
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/08/2019
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/08/2019
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/09/2019
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/09/2019
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/09/2019
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/09/2019
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/09/2019
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/10/2019
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/10/2019
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/10/2019
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/10/2019
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/10/2019
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/11/2019
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/11/2019
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/11/2019
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/11/2019
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/11/2019
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"128,700.00",01/12/2019
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"42,500.00",01/12/2019
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"278,800.00",01/12/2019
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"221,000.00",01/12/2019
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"482,800.00",01/12/2019
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/01/2020
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/01/2020
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/01/2020
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/01/2020
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/01/2020
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/02/2020
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/02/2020
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/02/2020
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/02/2020
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/02/2020
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/03/2020
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/03/2020
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/03/2020
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/03/2020
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/03/2020
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/04/2020
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/04/2020
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/04/2020
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/04/2020
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/04/2020
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/05/2020
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/05/2020
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/05/2020
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/05/2020
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/05/2020
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/06/2020
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/06/2020
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/06/2020
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/06/2020
ROSES,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/06/2020
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/07/2020
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/07/2020
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/07/2020
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/07/2020
ROSES,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/07/2020
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/08/2020
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/08/2020
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/08/2020
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/08/2020
ROSES,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/08/2020
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/09/2020
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/09/2020
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/09/2020
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/09/2020
ROSES,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/09/2020
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/10/2020
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/10/2020
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/10/2020
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/10/2020
ROSES,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/10/2020
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/11/2020
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/11/2020
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/11/2020
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/11/2020
ROSES,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/11/2020
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"283,900.00",01/12/2020
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"136,200.00",01/12/2020
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"45,900.00",01/12/2020
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"214,200.00",01/12/2020
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"482,800.00",01/12/2020
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/01/2021
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/01/2021
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/01/2021
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/01/2021
ROSES,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/01/2021
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/02/2021
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/02/2021
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/02/2021
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/02/2021
ROSES,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/02/2021
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/03/2021
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/03/2021
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/03/2021
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/03/2021
ROSES,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/03/2021
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/04/2021
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/04/2021
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/04/2021
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/04/2021
ROSES,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/04/2021
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/05/2021
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/05/2021
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/05/2021
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/05/2021
ROSES,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/05/2021
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"4,500.00",01/06/2021
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/06/2021
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/06/2021
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/06/2021
ROSES,INDIRECT COST,601008,WORKERS WELFARE,  -    ,01/06/2021
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/07/2021
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/08/2021
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/09/2021
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/10/2021
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/11/2021
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"363,300.00",01/12/2021
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/01/2022
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/02/2022
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/03/2022
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE, -   ,01/04/2022
